0.62, 0.64
0.36, 0.63
0.27, 0.48
0.60, 0.51
Arousal: 4.85, Valence: 6.39
Arousal: 5.17, Valence: 1.89
Arousal: 3.91, Valence: 2.83
Arousal: 3.21, Valence: 3.57
Arousal: 6.46, Valence: 4.35
Arousal: 8.74, Valence: 4.49
Arousal: 4.69, Valence: 0.23
Arousal: 0.21, Valence: 4.54
Arousal: 4.81, Valence: 8.53
Arousal: 5.31, Valence: 7.29
Arousal: 7.40, Valence: 7.40
Arousal: 6.76, Valence: 7.41
Arousal: 6.04, Valence: 5.78
Arousal: 6.89, Valence: 4.61
Arousal: 6.49, Valence: 3.01
Arousal: 7.94, Valence: 0.81
Arousal: 5.61, Valence: 1.54
Arousal: 5.20, Valence: 1.13
Arousal: 4.69, Valence: 0.67
Arousal: 4.59, Valence: 0.50
Arousal: 3.61, Valence: 0.42
